"Ticker";"Nome";"Preco Atual";"Setor"
"RBVA11";"RBVA11";9.04;"Varejo"
"RCFA11";"RCFA11";0.85;"Multicategoria"
"RCFF11";"RCFF11";71.52;"Outros"
"RCRB11";"RCRB11";138.98;"Escritórios"
"RCRI11";"RCRI11";99;"Outros"
"RDLI11";"RDLI11";24.83;"Logística"
"RECD11";"RECD11";6.67;""
"RECM11";"RECM11";7.73;"Multicategoria"
"RECR11";"RECR11";80.29;"Multicategoria"
"RECT11";"RECT11";35.42;"Multicategoria"
"RELG11";"RELG11";66.84;"Multicategoria"
"REME11";"REME11";76.6;""
"RENV11";"RENV11";5.65;"Multicategoria"
"RIFF11";"RIFF11";7.59;""
"RINV11";"RINV11";104.1;"Outros"
"RMBS11";"RMBS11";8.19;"Multicategoria"
"RNGO11";"RNGO11";52;"Escritórios"
"ROCA11";"ROCA11";10.1;""
"ROOF11";"ROOF11";274.81;"Multicategoria"
"RPRI11";"RPRI11";77.48;"Outros"
"RRES11";"RRES11";9.8;""
"RURA11";"RURA11";8.17;""
"RZAG11";"RZAG11";8.52;"Títulos e Val. Mob."
"RZAK11";"RZAK11";80.06;"Multicategoria"
"RZAT11";"RZAT11";92.9;"Multicategoria"
"RZDL11";"RZDL11";101.56;""
"RZLC11";"RZLC11";1008.52;""
"RZNE11";"RZNE11";8.29;""
"RZTR11";"RZTR11";87.07;"Outros"
"RZZI11";"RZZI11";1050;"Logística"
"RZZR11";"RZZR11";128.3;"Logística"
"SAPI11";"SAPI11";9.07;"Multicategoria"
"SCPF11";"SCPF11";3.26;""
"SEQR11";"SEQR11";53.51;"Logística"
"SHPH11";"SHPH11";935;"Shoppings"
"SHPP11";"SHPP11";10.88;"Multicategoria"
"SJAU11";"SJAU11";1.88;"Logística"
"SMRE11";"SMRE11";56.5;"Multicategoria"
"SNAG11";"SNAG11";9.84;"Multicategoria"
"SNCI11";"SNCI11";85.87;"Outros"
"SNEL11";"SNEL11";8.39;"Outros"
"SNFF11";"SNFF11";73.1;"Outros"
"SNFZ11";"SNFZ11";9.19;"Multicategoria"
"SNME11";"SNME11";9.41;"Multicategoria"
"SPTW11";"SPTW11";37.87;"Outros"
"SPXS11";"SPXS11";7.77;"Multicategoria"
"STYI11";"STYI11";1249.99;""
"SUIN11";"SUIN11";87.99;""
"TELM11";"TELM11";10.1;"Multicategoria"
"TEPP11";"TEPP11";7.93;"Outros"
"TGAR11";"TGAR11";50.77;"Multicategoria"
"TJKB11";"TJKB11";247.8;"Hospital"
"TMPS11";"TMPS11";74.47;"Outros"
"TOPP11";"TOPP11";69.07;"Outros"
"TORD11";"TORD11";1.18;"Multicategoria"
"TRBL11";"TRBL11";59.36;"Logística"
"TRCO11";"TRCO11";10.2;"Multicategoria"
"TRNT11";"TRNT11";109.99;"Escritórios"
"TRPL11";"TRPL11";1.1;"Multicategoria"
"TRUE11";"TRUE11";23.78;"Logística"
"TRXB11";"TRXB11";192.01;"Multicategoria"
"TRXF11";"TRXF11";91.45;"Multicategoria"
"TRXY11";"TRXY11";7.8;"Multicategoria"
"TVRI11";"TVRI11";91.41;""
"URHF11";"URHF11";58.6;"Multicategoria"
"URPR11";"URPR11";19.13;"Outros"
"VCJR11";"VCJR11";72;"Outros"
"VCRA11";"VCRA11";59;"Títulos e Val. Mob."
"VCRI11";"VCRI11";7.16;"Outros"
"VCRR11";"VCRR11";55.15;"Logística"
"VGHF11";"VGHF11";5.88;"Outros"
"VGIA11";"VGIA11";7.94;"Outros"
"VGIP11";"VGIP11";78.42;"Multicategoria"
"VGIR11";"VGIR11";9.61;"Multicategoria"
"VGRI11";"VGRI11";5.55;"Outros"
"VHFA11";"VHFA11";10.88;""
"VIGT11";"VIGT11";48.5;""
"VILG11";"VILG11";94.39;"Logística"
"VINF11";"VINF11";87.3;""
"VINO11";"VINO11";4.59;"Multicategoria"
"VISC11";"VISC11";105.09;"Shoppings"
"VIUR11";"VIUR11";2.31;"Outros"
"VOTS11";"VOTS11";84.47;"Multicategoria"
"VPPR11";"VPPR11";19.5;"Escritórios"
"VPSI11";"VPSI11";21.92;"Shoppings"
"VRTA11";"VRTA11";73.28;"Outros"
"VRTM11";"VRTM11";6.92;"Multicategoria"
"VSHO11";"VSHO11";73.89;"Shoppings"
"VSLH11";"VSLH11";1.79;"Multicategoria"
"VVCO11";"VVCO11";10.68;""
"VVCR11";"VVCR11";8.08;"Multicategoria"
"VVMR11";"VVMR11";82.99;"Multicategoria"
"VVRI11";"VVRI11";9;"Multicategoria"
"VXXV11";"VXXV11";785;"Outros"
"WHGR11";"WHGR11";9;"Multicategoria"
"WPLZ11";"WPLZ11";47.56;"Shoppings"
"WTSP11";"WTSP11";58.95;"Multicategoria"
"XLPR11";"XLPR11";68.5;"Outros"
"XPCA11";"XPCA11";7.7;"Multicategoria"
"XPCI11";"XPCI11";82.96;"Outros"
"XPCM11";"XPCM11";8.05;"Escritórios"
"XPIE11";"XPIE11";43.3;""
"XPLG11";"XPLG11";90.96;"Logística"
"XPML11";"XPML11";104.67;"Shoppings"
"XPSF11";"XPSF11";6.18;"Outros"
"ZAGH11";"ZAGH11";9.16;"Multicategoria"
"ZAVC11";"ZAVC11";9.02;"Outros"
"ZAVI11";"ZAVI11";9.79;"Multicategoria"
"ZIFI11";"ZIFI11";899.89;"Outros"
